Timestamp,IP Address,ISP,City,Region,Country,Latitude,Longitude,Network Type,Download Speed (Mbps),Upload Speed (Mbps),Ping (ms)
2024-07-14 21:39:16,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.819,10.1658,AS37492 Orange Tunisie,3.083553352424146,6.5247050679524845,105.508
2024-07-14 21:39:16,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.819,10.1658,AS37492 Orange Tunisie,2.8374633867094032,7.242856985119274,118.283
2024-07-14 21:39:16,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.819,10.1658,AS37492 Orange Tunisie,2.8759806168771167,7.099847960235399,91.522
2024-07-14 21:39:19,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.819,10.1658,AS37492 Orange Tunisie,3.776437216574384,10.881367917015195,89.753
2024-07-14 21:39:23,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.819,10.1658,AS37492 Orange Tunisie,7.949430211183918,19.575674310543544,69.575
2024-07-14 21:39:38,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.819,10.1658,AS37492 Orange Tunisie,14.740494386995682,23.07580983809992,316.204
2024-07-14 21:40:18,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.819,10.1658,AS37492 Orange Tunisie,10.404917773004003,17.658692908415922,144.515
2024-07-14 21:41:14,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.819,10.1658,AS37492 Orange Tunisie,25.865786305396472,40.73612004128239,34.501
2024-07-14 21:42:14,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.819,10.1658,AS37492 Orange Tunisie,24.282065661389943,15.073019041953406,38.071
2024-07-14 21:42:17,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.819,10.1658,AS37492 Orange Tunisie,14.128771670011568,18.094567057427813,37.419
2024-07-14 21:42:25,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.819,10.1658,AS37492 Orange Tunisie,24.92898427071448,38.663768801543895,140.181
2024-07-14 21:43:16,196.224.128.11,AS37492 Orange Tunisie,Tunis,Tunis Governorate,TN,36.8190,10.1658,AS37492 Orange Tunisie,26.226476771628555,40.351313491976704,44.431
